"","score"
"10x16",0.363544813695871
"10x17",0.425377643504532
"10x18",0.349127223900638
"10x19",0.365290365894596
"10x20",0.374840550520309
"10x21",0.385330647868412
"10x22",0.330245048674052
"10x23",0.407670359180933
"10x24",0.422658610271903
"10x25",0.453742866733803
"10x26",0.443756294058409
"10x27",0.397599865726754
"10x28",0.398909029875797
"10x29",0.298623699227929
"10x30",0.361950318898959
"10x31",0.408089963074857
"11x15",0.353524672708963
"11x16",0.436572675394428
"11x17",0
"11x18",0.373363544813696
"11x19",0.463477677072843
"11x20",0.356059080228264
"11x21",0.464165827458879
"11x22",0.43445787176905
"11x23",0.368395434709634
"11x24",0.47151728768043
"11x25",0.463225914736489
"11x26",0.487495803961061
"11x27",0.448909029875797
"11x28",0.331906680093991
"11x29",0.360406176569319
"11x30",0.373430681436724
"12x15",0.327173548170527
"12x16",0.404414232964082
"12x17",0.45072171869755
"12x18",0.524672708962739
"12x19",0.418345082242363
"12x20",0.362990936555891
"12x21",0.518328298086606
"12x22",0.404968110104062
"12x23",0.440802282645183
"12x24",0.41294058408862
"12x25",0.507049345417925
"12x26",0.486858006042296
"12x27",0.512286002014099
"12x28",0.428247734138973
"12x29",0.464165827458879
"12x30",0.374152400134273
"12x31",0.379640819066801
"13x14",0.422776099362202
"13x15",0.478449144008056
"13x16",0.466800939912722
"13x17",0.501644847264183
"13x18",0.450335683115139
"13x19",0.431453507888553
"13x20",0.367489090298758
"13x21",0.401426653239342
"13x22",0.433014434373951
"13x23",0.369284994964753
"13x24",0.434239677744209
"13x25",0.369016448472642
"13x26",0.396424974823766
"13x27",0.477928835179591
"13x28",0.466683450822424
"13x29",0.265088956025512
"13x30",0.405488418932528
"14x15",0.449076871433367
"14x16",0.526518966096005
"14x17",0.363410540449815
"14x18",0.409029875797247
"14x19",0.504044981537429
"14x20",0.446273917421954
"14x21",0.453004363880497
"14x22",0.361111111111111
"14x23",0.424034911043975
"14x24",0.395720040281974
"14x25",0.498405505203088
"14x26",0.405857670359181
"14x27",0.484038267875126
"14x28",0.381688486069151
"14x29",0.43522994293387
"14x30",0.367287680429674
"15x14",0.326451829472977
"15x15",0.383937562940584
"15x16",0.50021819402484
"15x17",0.383786505538771
"15x18",0.41144679422625
"15x19",0.378180597515945
"15x20",0.395955018462571
"15x21",0.439258140315542
"15x22",0.448153742866734
"15x23",0.386438402148372
"15x24",0.487479019805304
"15x25",0.46045652903659
"15x26",0.367690500167842
"15x27",0.425629405840886
"15x28",0.500906344410876
"15x29",0.439274924471299
"15x30",0.445334004699564
"16x14",0.266951997314535
"16x15",0.411077542799597
"16x16",0.435078885532058
"16x17",0.397213830144344
"16x18",0.46852970795569
"16x19",0.428851963746224
"16x20",0.31648204095334
"16x21",0.514467942262504
"16x22",0.472339711312521
"16x23",0.379472977509231
"16x24",0.331520644511581
"16x25",0.414870762000671
"16x26",0.434525008392078
"16x27",0.356059080228264
"16x28",0.410792212151729
"16x29",0.336153071500504
"16x30",0.433803289694528
"17x15",0.45956696878147
"17x16",0.417556226921786
"17x17",0.452181940248406
"17x18",0.472037596508896
"17x19",0.4134944612286
"17x20",0.413746223564955
"17x21",0.440919771735482
"17x22",0.523967774420947
"17x23",0.481772406847936
"17x24",0.424454514937899
"17x25",0.43180597515945
"17x26",0.453977844914401
"17x27",0.450587445451494
"17x28",0.442715676401477
"17x29",0.454632426988922
"17x30",0.472020812353139
"18x14",0.343235985229943
"18x15",0.487764350453172
"18x16",0.432477341389728
"18x17",0.456881503860356
"18x18",0.400755287009063
"18x19",0.358089963074857
"18x20",0
"18x21",0.457150050352467
"18x22",0.458291372943941
"18x23",0.426854649211145
"18x24",0.427223900637798
"18x25",0.449177576367909
"18x26",0.454061765693186
"18x27",0.487848271231957
"18x28",0.467858341725411
"18x29",0.520124202752602
"18x30",0.501812688821752
"19x14",0.324840550520309
"19x15",0.394008056394763
"19x16",0.445434709634105
"19x17",0.422742531050688
"19x18",0.510574018126888
"19x19",0.406210137630077
"19x20",0.422641826116146
"19x21",0.496995636119503
"19x22",0.505538771399799
"19x23",0.477291037260826
"19x24",0.513645518630413
"19x25",0.488972809667674
"19x26",0.493538100033568
"19x27",0.411312520980195
"19x28",0.463192346424975
"19x29",0.425310506881504
"19x30",0.44065122524337
"20x14",0.37228935884525
